area,contract_date,purchase_price,year,post_code
556.4,25/08/1995,156000,1995,2527
556.4,10/03/1995,135000,1995,2527
796.7,16/11/1995,114500,1995,2527
727.2,28/10/1995,114000,1995,2640
1562.0,17/02/1995,195000,1995,2527
1657.0,17/02/1995,149000,1995,2527
1657.0,22/03/1995,129000,1995,2527
,01/02/1995,219000,1995,2527
,06/07/1995,135000,1995,2527
590.6,01/05/1995,120000,1995,2527
6.0,07/07/1995,125000,1995,2527
559.6,11/07/1995,148000,1995,2527
575.5,10/05/1995,115000,1995,2527
686.9,05/12/1995,123500,1995,2527
43.19,22/02/1995,370000,1995,2527
600.7,12/05/1995,115500,1995,2527
651.7,28/03/1995,117500,1995,2527
603.3,09/08/1995,130000,1995,2527
663.6,02/11/1995,105000,1995,2527
563.9,12/05/1995,185000,1995,2527
1631.0,23/01/1995,121500,1995,2527
1631.0,20/02/1995,133500,1995,2527
1631.0,02/03/1995,132500,1995,2527
5.853,06/10/1995,185000,1995,2527
1012.0,18/04/1995,131000,1995,2527
3951.0,09/01/1995,126000,1995,2527
3951.0,31/01/1995,124000,1995,2527
3951.0,11/10/1995,126000,1995,2527
467.9,07/07/1995,133000,1995,2527
556.4,07/07/1995,108000,1995,2527
556.4,19/10/1995,110000,1995,2527
556.4,01/08/1995,127000,1995,2527
556.9,23/03/1995,155000,1995,2527
559.0,17/11/1995,126000,1995,2527
559.0,24/05/1995,133500,1995,2527
559.1,09/06/1995,140000,1995,2527
564.7,22/09/1995,129000,1995,2527
556.4,25/01/1995,131000,1995,2527
556.4,09/11/1995,118000,1995,2527
761.0,19/09/1995,128000,1995,2527
559.5,27/02/1995,128500,1995,2527
600.1,20/02/1995,192000,1995,2527
604.0,22/08/1995,192500,1995,2527
640.0,01/12/1995,118000,1995,2527
562.0,25/05/1995,115000,1995,2527
575.4,05/10/1995,125000,1995,2527
575.4,09/06/1995,128000,1995,2527
1028.0,08/06/1995,275000,1995,2640
,26/09/1995,140000,1995,2527
